#VIN,#VehicleCategoryCode,ClassOfHybridVehicleCode,#FuelTypeCode,#FuelCode1,#FuelCode2,#FuelCode3,FuelCode4,Info manueller Change in DB: vehicleNatureCode 
BFE01emptyB1040xx,N1,Empty,B,10,40,-,-,-
BFE35emptyB1040xx,N1,Empty,B,10,40,-,-,35
BFE38emptyB1040xx,N1,Empty,B,10,40,-,-,38
BFE01emptyB10400x,N1,Empty,B,10,40,0,-,-
BFE35emptyB10400x,N1,Empty,B,10,40,0,-,35
BFE38emptyB10400x,N1,Empty,B,10,40,0,-,38
BFE01emptyB104044,N1,Empty,B,10,40,44,-,-
BFE35emptyB104044,N1,Empty,B,10,40,44,-,35
BFE38emptyB104044,N1,Empty,B,10,40,44,-,38
BFE01emptyB10xxxx,N1,Empty,B,10,-,-,-,-
BFE35emptyB10xxxx,N1,Empty,B,10,-,-,-,35
BFE38emptyB10xxxx,N1,Empty,B,10,-,-,-,38
BFE01emptyB10xx0x,N1,Empty,B,10,-,0,-,-
BFE35emptyB10xx0x,N1,Empty,B,10,-,0,-,35
BFE38emptyB10xx0x,N1,Empty,B,10,-,0,-,38
BFE01emptyB10xx44,N1,Empty,B,10,-,44,-,-
BFE35emptyB10xx44,N1,Empty,B,10,-,44,-,35
BFE38emptyB10xx44,N1,Empty,B,10,-,44,-,38
BFE01emptyB5040xx,N1,Empty,B,50,40,-,-,-
BFE35emptyB5040xx,N1,Empty,B,50,40,-,-,35
BFE38emptyB5040xx,N1,Empty,B,50,40,-,-,38
BFE01emptyB50400x,N1,Empty,B,50,40,0,-,-
BFE35emptyB50400x,N1,Empty,B,50,40,0,-,35
BFE38emptyB50400x,N1,Empty,B,50,40,0,-,38
BFE01emptyB504044,N1,Empty,B,50,40,44,-,-
BFE35emptyB504044,N1,Empty,B,50,40,44,-,35
BFE38emptyB504044,N1,Empty,B,50,40,44,-,38
BFE01emptyB50xxxx,N1,Empty,B,50,-,-,-,-
BFE35emptyB50xxxx,N1,Empty,B,50,-,-,-,35
BFE38emptyB50xxxx,N1,Empty,B,50,-,-,-,38
BFE01emptyB50xx0x,N1,Empty,B,50,-,0,-,-
BFE35emptyB50xx0x,N1,Empty,B,50,-,0,-,35
BFE38emptyB50xx0x,N1,Empty,B,50,-,0,-,38
